,Ws_avg
2013-07-02 07:10:00+00:00,2.22799996
2013-07-02 07:20:00+00:00,2.51199994
2013-07-02 07:30:00+00:00,2.79599992
2013-07-02 07:40:00+00:00,3.0799999
2013-07-02 07:50:00+00:00,2.41999995
2013-07-02 08:00:00+00:00,1.76
2013-07-02 08:10:00+00:00,3.3699999
2013-07-02 08:20:00+00:00,4.5
2013-07-02 08:30:00+00:00,4.559999933333334
2013-07-02 08:40:00+00:00,4.619999866666666
2013-07-02 08:50:00+00:00,4.6799998
2013-07-02 09:00:00+00:00,4.5799999
2013-07-02 09:10:00+00:00,4.4649999000000005
2013-07-02 09:20:00+00:00,4.3499999
2013-07-02 09:30:00+00:00,4.02
2013-07-02 09:40:00+00:00,3.9533333
2013-07-02 09:50:00+00:00,3.8866666
2013-07-02 10:00:00+00:00,3.8199999
2013-07-02 10:10:00+00:00,3.1700001
2013-07-02 10:20:00+00:00,3.365
2013-07-02 10:30:00+00:00,3.5599999
2013-07-02 10:40:00+00:00,3.96
2013-07-02 10:50:00+00:00,4.5599999
2013-07-02 11:00:00+00:00,4.3800001
2013-07-02 11:10:00+00:00,3.960000075
2013-07-02 11:20:00+00:00,3.54000005
2013-07-02 11:30:00+00:00,3.1200000250000004
2013-07-02 11:40:00+00:00,2.7
2013-07-02 11:50:00+00:00,3.8900001
2013-07-02 12:00:00+00:00,3.920000066666667
2013-07-02 12:10:00+00:00,3.950000033333333
2013-07-02 12:20:00+00:00,3.98
2013-07-02 12:30:00+00:00,4.03999995
2013-07-02 12:40:00+00:00,4.0999999
2013-07-02 12:50:00+00:00,4.257499925
2013-07-02 13:00:00+00:00,4.41499995
2013-07-02 13:10:00+00:00,4.572499975
2013-07-02 13:20:00+00:00,4.73
2013-07-02 13:30:00+00:00,4.873333266666667
2013-07-02 13:40:00+00:00,5.016666533333333
2013-07-02 13:50:00+00:00,5.1599998
2013-07-02 14:00:00+00:00,5.5
2013-07-02 14:10:00+00:00,5.8400002
2013-07-02 14:20:00+00:00,5.3400002
2013-07-02 14:30:00+00:00,5.75
2013-07-02 14:40:00+00:00,5.7249999
2013-07-02 14:50:00+00:00,5.6999998
2013-07-02 15:00:00+00:00,7.02
2013-07-02 15:10:00+00:00,6.6199999
2013-07-02 15:20:00+00:00,6.2199998
2013-07-02 15:30:00+00:00,6.4499998
2013-07-02 15:40:00+00:00,5.7600002
2013-07-02 15:50:00+00:00,4.46
2013-07-02 16:00:00+00:00,4.719999933333333
2013-07-02 16:10:00+00:00,4.979999866666667
2013-07-02 16:20:00+00:00,5.2399998
2013-07-02 16:30:00+00:00,5.375999859999999
2013-07-02 16:40:00+00:00,5.51199992
2013-07-02 16:50:00+00:00,5.64799998
2013-07-02 17:00:00+00:00,5.7840000400000005
2013-07-02 17:10:00+00:00,5.9200001
2013-07-02 17:20:00+00:00,6.173333333333334
2013-07-02 17:30:00+00:00,6.4266665666666665
2013-07-02 17:40:00+00:00,6.6799998
2013-07-02 17:50:00+00:00,6.79
